"title","source","date","link"
"Informe de situación No.3 – Deslizamiento Chunchi (Fecha y Hora de actualización: domingo, 14 de febrero de 2021 – 17:05:37)","ReliefWeb","15 feb 2021","https://reliefweb.int/report/ecuador/informe-de-situaci-n-no3-deslizamiento-chunchi-fecha-y-hora-de-actualizaci-n-domingo"
"Chunchi es declarado en alerta amarilla por riesgos de deslaves","Primicias","18 sept 2023","https://www.primicias.ec/noticias/sucesos/alerta-amarilla-chunchi-deslizamientos/"
"Estas son las pérdidas de animales y sembríos en Chunchi","gk.city","15 feb 2021","https://gk.city/2021/02/15/perdidas-animales-deslizamiento-chunchi/"
"Chunchi en emergencia debido a inundaciones y deslizamientos","Diario La Prensa Riobamba","4 mar 2024","https://laprensa.com.ec/chunchi-en-emergencia/"
"Cerca de 300 personas en albergues tras deslizamiento en Chunchi","Ecuavisa","17 feb 2021","https://www.ecuavisa.com/noticias/ecuador/cerca-300-personas-albergues-tras-deslizamiento-chunchi-KIEC689416"
"MIES ENTREGA AYUDA HUMANITARIA Y BRINDA ATENCIÓN A FAMILIAS AFECTADAS POR EL DESLIZAMIENTO DE TIERRA EN CHUNCHI – Ministerio de Inclusión Económica y Social","Ministerio de Inclusión Económica y Social","15 feb 2021","https://www.inclusion.gob.ec/mies-entrega-ayuda-humanitaria-y-brinda-atencion-a-familias-afectadas-por-el-deslizamiento-de-tierra-en-chunchi/"
"SGR declara alerta amarilla en área susceptible a deslizamiento en Chunchi","El Universo","18 sept 2023","https://www.eluniverso.com/noticias/ecuador/sgr-declara-alerta-amarilla-en-area-susceptible-a-deslizamiento-en-chunchi-nota/"
"Tres zonas en Chunchi tienen alerta amarilla por deslizamientos","El Telégrafo - Noticias de Ecuador y del mundo","18 sept 2023","https://www.eltelegrafo.com.ec/noticias/nacionales/44/tres-zonas-en-chunchi-tienen-alerta-amarilla-por-deslizamientos"
"Alud en Chimborazo: En Chunchi una montaña se vino abajo","extra.ec","12 feb 2021","https://www.extra.ec/noticia/actualidad/chunchi-montana-vino-abajo-48269.html"
"La vía Colta – Alausí – Chunchi permanece cerrada por deslizamiento de tierra","El Comercio","19 feb 2023","https://www.elcomercio.com/actualidad/ecuador/via-colta-alausi-chunchi-deslizamiento-tierra.html"
"Con $40 000 dólares de inversión en kits, el Gobierno equipó a Alausí y Chunchi contra desastres naturales","diariolosandes.com.ec","16 nov 2024","https://www.diariolosandes.com.ec/con-40-000-dolares-de-inversion-en-kits-el-gobierno-equipo-a-alausi-y-chunchi-contra-desastres-naturales/"
"Aluvión afectó a 50 casas del barrio La Elegancia del cantón Chunchi, en Chimborazo","El Comercio","4 mar 2022","https://www.elcomercio.com/actualidad/ecuador/aluvion-chunchi-chimborazo-alausi-quebrada.html"
"Informe de situación No.3 – Deslizamiento Chunchi (Fecha y Hora de actualización: domingo, 14 de febrero de 2021 – 17:05:37)","ReliefWeb","15 feb 2021","https://reliefweb.int/report/ecuador/informe-de-situaci-n-no3-deslizamiento-chunchi-fecha-y-hora-de-actualizaci-n-domingo"
"Deslave en Alausí: Lista de los peores aluviones y deslaves registrados en Ecuador","Ecuavisa","28 mar 2023","https://www.ecuavisa.com/la-noticia-a-fondo/deslave-en-alausi-lista-de-los-peores-aluviones-y-deslaves-registrados-en-ecuador-XJ4784550"
"Desde febrero, Riesgos advirtió de los derrumbes en Alausí","Primicias","27 mar 2023","https://www.primicias.ec/noticias/sociedad/vias-sierra-azuay-chimborazo-alausi/"
"Tragedia en Pallatanga: Cuatro fallecidos y dos heridos tras aluvión","Metro Ecuador","21 feb 2023","https://www.metroecuador.com.ec/noticias/2023/02/21/tragedia-en-pallatanga-cuatro-fallecidos-y-dos-heridos-tras-aluvion/"
"Desbordamiento de ríos causó destrozos en Portovelo, en El Oro","El Comercio","19 feb 2023","https://www.elcomercio.com/actualidad/ecuador/desbordamiento-rios-destrozos-portovelo-el-oro.html"
"Moradores del sitio Ambocas, del cantón Portovelo, en una Iglesia tras posible aluvión","Machala Móvil","14 mar 2023","https://machalamovil.com/moradores-del-sitio-ambocas-del-canton-portovelo-en-una-iglesia-tras-posible-aluvion/"
"Afectados del aluvión se reponen con emprendimientos y mingas","El Comercio","5 mar 2022","https://www.elcomercio.com/actualidad/quito/afectados-aluvion-comuna-quito-emprendimientos-mingas.html"
"Familias de Loja y El Oro pernoctan en albergues o casas temporales","El Comercio","22 feb 2023","https://www.elcomercio.com/actualidad/familias-de-loja-y-el-oro-pernoctan-en-albergues-o-con-familiares.html"
"El Niño: fuertes lluvias provocan inundaciones y emergencias en Chunchi y Cumandá","Primicias","4 mar 2024","https://www.primicias.ec/noticias/sociedad/fuertes-lluvias-nino-cumanda-chunchi/"
"Chunchi en emergencia debido a inundaciones y deslizamientos","Diario La Prensa Riobamba","4 mar 2024","https://laprensa.com.ec/chunchi-en-emergencia/"
"Cantón Chunchi declarado en emergencia tras caída de fuertes lluvias","Vistazo","3 mar 2024","https://www.vistazo.com/portada/canton-chunchi-declarado-en-emergencia-tras-caida-de-fuertes-lluvias-EL6951745"
"Prefectura de Chimborazo atiende desastre natural en el cantón Chunchi","Diario Los Andes","5 mar 2024","https://www.diariolosandes.com.ec/prefectura-de-chimborazo-atiende-desastre-natural-en-el-canton-chunchi/"
"Hubo inundaciones en Chunchi y Alausí que causaron deslizamiento","gk.city","18 mar 2021","https://gk.city/2021/02/13/deslizamiento-chunchi-inundacion/"
"Tres zonas en Chunchi tienen alerta amarilla por deslizamientos","El Telégrafo - Noticias de Ecuador y del mundo","18 sept 2023","https://www.eltelegrafo.com.ec/noticias/nacionales/44/tres-zonas-en-chunchi-tienen-alerta-amarilla-por-deslizamientos"
"La vía Colta – Alausí – Chunchi permanece cerrada por deslizamiento de tierra","El Comercio","19 feb 2023","https://www.elcomercio.com/actualidad/ecuador/via-colta-alausi-chunchi-deslizamiento-tierra.html"
"Chunchi bajo el azote del diluvio: Caos, derrumbes y desesperación","Diario Los Andes","2 mar 2024","https://www.diariolosandes.com.ec/chunchi-bajo-el-azote-del-diluvio-caos-derrumbes-y-desesperacion/"
"Fuertes lluvias en el sur de Ecuador causaron inundaciones, cierres de vías y daños","Infobae","20 feb 2023","https://www.infobae.com/america/america-latina/2023/02/20/fuertes-lluvias-en-el-sur-de-ecuador-causaron-inundaciones-cierres-de-vias-y-danos/"
"Municipios de Ecuador en emergencia por lluvias","Diario Digital Nuestro País","16 mar 2024","https://www.elpais.cr/2024/03/16/municipios-de-ecuador-en-emergencia-por-lluvias/"
"Chunchi en emergencia: Comuneros se dan la mano para abrir camino","Portal Extra","4 mar 2024","https://www.extra.ec/noticia/provincias/chunchi-emergencia-comuneros-dan-mano-abrir-camino-100516.html"
"Chunchi bajo el azote del diluvio: Caos, derrumbes y desesperación","Diario Los Andes","2 mar 2024","https://www.diariolosandes.com.ec/chunchi-bajo-el-azote-del-diluvio-caos-derrumbes-y-desesperacion/"
"Fuertes lluvias causan derrumbes y aíslan a más de 2.000 familias en Chimborazo","expreso.ec","3 mar 2024","https://www.expreso.ec/actualidad/fuertes-lluvias-causan-derrumbes-aislan-2-000-familias-chimborazo-191792.html"
"Desde febrero, Riesgos advirtió de los derrumbes en Alausí","Primicias","27 mar 2023","https://www.primicias.ec/noticias/sociedad/vias-sierra-azuay-chimborazo-alausi/"
"Vía Riobamba – Cuenca inhabilitada por derrumbes","El Comercio","2 may 2022","https://www.elcomercio.com/actualidad/ecuador/via-riobamba-cuenca-inhabilitada.html"
"Dos heridos y más de 500 evacuados ocasiona deslave en Chunchi","El Universo","12 feb 2021","https://www.eluniverso.com/noticias/ecuador/dos-heridos-y-mas-de-500-evacuados-ocasiona-deslave-en-chunchi-nota/"
"Vía Guayaquil-Riobamba cerrada por hundimiento","Teleamazonas","16 abr 2023","https://www.teleamazonas.com/via-guayaquil-riobamba-cerrada-hundimiento/"
"Cerca de 300 personas en albergues tras deslizamiento en Chunchi","Ecuavisa","17 feb 2021","https://www.ecuavisa.com/noticias/ecuador/cerca-300-personas-albergues-tras-deslizamiento-chunchi-KIEC689416"
"50 poblados de Alausí quedaron incomunicados por los constantes derrumbes","Diario La Prensa Riobamba","10 mar 2022","https://laprensa.com.ec/50-poblados-de-alausi-incomunicados/"
"Vía Guamote-Alausí, cerrada indefinidamente por deslizamientos","Primicias","23 mar 2023","https://www.primicias.ec/noticias/sociedad/via-guamote-alausi-cerrada-deslizamientos/"